,URL
0,https://www.kickstarter.com/projects/930892225/titan-the-deepest-diving-underwater-drone-for-ever?ref=discovery
1,https://www.kickstarter.com/projects/1957597055/super-anthony-the-battle-robot-with-45-kg-servo-fo?ref=discovery
2,https://www.kickstarter.com/projects/1509453982/root-a-robot-to-teach-coding?ref=discovery
3,https://www.kickstarter.com/projects/openrov/openrov-trident-an-underwater-drone-for-everyone?ref=discovery
4,https://www.kickstarter.com/projects/525985345/mousr-the-robotic-mouse-that-plays-with-your-cat?ref=discovery
5,https://www.kickstarter.com/projects/1687812426/quirkbot-make-your-own-robots-with-drinking-straws?ref=discovery
6,https://www.kickstarter.com/projects/partyrobotics/bartendro-a-cocktail-dispensing-robot?ref=discovery
7,https://www.kickstarter.com/projects/plumgeek/ringo-the-palm-size-robot-with-real-personality?ref=discovery
8,https://www.kickstarter.com/projects/1477302345/bocco-the-family-robot-that-brings-your-loved-ones?ref=discovery
9,https://www.kickstarter.com/projects/arcbotics/hexy-the-hexapod-low-cost-six-legged-open-robot?ref=discovery
10,https://www.kickstarter.com/projects/bjpirt/mirobot-the-diy-wifi-robot-for-children?ref=discovery
11,https://www.kickstarter.com/projects/openrov/openrov-the-open-source-underwater-robot?ref=discovery
12,https://www.kickstarter.com/projects/847478159/the-t100-a-game-changing-underwater-thruster?ref=discovery
13,https://www.kickstarter.com/projects/1607857757/lilbot-the-little-robot-that-could?ref=discovery
14,https://www.kickstarter.com/projects/1853707494/pancakebot-the-worlds-first-pancake-printer?ref=discovery
15,https://www.kickstarter.com/projects/phenoptix/mearm-pocket-sized-industrial-robotics-for-everybo?ref=discovery
16,https://www.kickstarter.com/projects/modrobotics/moss-the-dynamic-robot-construction-kit?ref=discovery
17,https://www.kickstarter.com/projects/massoudhassani/mine-kafon-drone?ref=discovery
18,https://www.kickstarter.com/projects/gfoe/a-robot-to-explore-the-depths-of-yellowstone-lake?ref=discovery
19,https://www.kickstarter.com/projects/arcbotics/sparki-the-easy-robot-for-everyone?ref=discovery
20,https://www.kickstarter.com/projects/whoismrrobotics/robby-a-french-evolutive-robot-enhancing-curiosity?ref=discovery
21,https://www.kickstarter.com/projects/moai/moai-robot-for-your-aquarium?ref=discovery
22,https://www.kickstarter.com/projects/candyhouse/sesame-your-key-reinvented?ref=discovery
23,https://www.kickstarter.com/projects/713401305/mimicarm-learn-to-code-your-own-ai-robot?ref=discovery
24,https://www.kickstarter.com/projects/jaidynedwards/poppet-diy-arduino-compatible-open-hardware-robot?ref=discovery
25,https://www.kickstarter.com/projects/559733758/kibo-young-kids-programming-robots-with-wooden-blo?ref=discovery
26,https://www.kickstarter.com/projects/1599191780/kumiita-educational-programming-toy-for-0-year-old?ref=discovery
27,https://www.kickstarter.com/projects/rorymackean/tertill-the-solar-powered-weeding-robot-for-home-g?ref=discovery
28,https://www.kickstarter.com/projects/1320310506/tiddlybot-fun-and-simple-raspberry-pi-robot?ref=discovery
29,https://www.kickstarter.com/projects/932664050/opentrons-open-source-rapid-prototyping-for-biolog?ref=discovery
30,https://www.kickstarter.com/projects/392540503/cardboard-robot-robotic-arm-and-smart-phone-camera?ref=discovery
31,https://www.kickstarter.com/projects/1176278358/first-2013-season-dunlap-eagles-robotics-team-dert?ref=discovery
32,https://www.kickstarter.com/projects/1359605477/fathom-one-the-affordable-modular-hd-underwater-dr?ref=discovery
33,https://www.kickstarter.com/projects/937295081/edison-fun-robotics-for-tomorrows-inventors?ref=discovery
34,https://www.kickstarter.com/projects/megabots/support-team-usa-in-the-giant-robot-duel?ref=discovery
35,https://www.kickstarter.com/projects/1174032727/turtle-rover-worlds-first-earth-rover?ref=discovery
36,https://www.kickstarter.com/projects/simarobot/sima-the-most-friendly-and-accesible-social-robot?ref=discovery
37,https://www.kickstarter.com/projects/1619211863/aiframe-age-of-humanoid-robot?ref=discovery
38,https://www.kickstarter.com/projects/bradknox/bots-alive-robots-that-play-and-find-their-way?ref=discovery
39,https://www.kickstarter.com/projects/1085341127/geio-a-fps-battle-bot-with-visual-recognition?ref=discovery
40,https://www.kickstarter.com/projects/938274194/hummingbird-duo-a-robotics-kit-for-ages-10-to-110?ref=discovery
41,https://www.kickstarter.com/projects/creoqode/nova-diy-artificial-intelligence-robot?ref=discovery
42,https://www.kickstarter.com/projects/dustinandrews/robotic-minion-start-kit-arduino-compatible?ref=discovery
43,https://www.kickstarter.com/projects/narwhaledu/robots-drawing-and-engineering-an-online-course?ref=discovery
44,https://www.kickstarter.com/projects/robotboat/robotboat-mark-vi?ref=discovery
45,https://www.kickstarter.com/projects/tbaumg/troller-1d-educational-hobby-robot?ref=discovery
46,https://www.kickstarter.com/projects/460355237/the-crafty-robot-the-5-robot?ref=discovery
47,https://www.kickstarter.com/projects/deezmaker/maker-muscle-worlds-first-customizable-actuator-fo?ref=discovery
48,https://www.kickstarter.com/projects/dobot/dobot-m1-pro-robotic-arm-for-makers-and-businesses?ref=discovery
49,https://www.kickstarter.com/projects/projecthexapod/stompy-the-giant-rideable-walking-robot-0?ref=discovery
50,https://www.kickstarter.com/projects/687217338/starbot-animatronic-robot-puppets?ref=discovery
51,https://www.kickstarter.com/projects/1114649432/biki-first-bionic-wireless-underwater-fish-drone?ref=discovery
52,https://www.kickstarter.com/projects/jeffkessler/tj-an-animatronic-puppet?ref=discovery
53,https://www.kickstarter.com/projects/1689254125/multiplo-create-your-own-robot?ref=discovery
54,https://www.kickstarter.com/projects/2107823129/plen2-the-worlds-first-printable-open-source-human?ref=discovery
55,https://www.kickstarter.com/projects/1647660643/meet-roy-an-experiment-in-animatronics-part-one?ref=discovery
56,https://www.kickstarter.com/projects/anthromod/3d-printed-robotic-hand?ref=discovery
57,https://www.kickstarter.com/projects/1412673920/gocupi-turns-your-raspberry-pi-into-a-portable-pol?ref=discovery
58,https://www.kickstarter.com/projects/niryo/niryo-one-an-open-source-6-axis-robotic-arm-just-f?ref=discovery
59,https://www.kickstarter.com/projects/mechwarfare/help-us-build-a-mech-warfare-robot-arena?ref=discovery
60,https://www.kickstarter.com/projects/ryanteckltd/turtlteck?ref=discovery
61,https://www.kickstarter.com/projects/543628386/algobrix-the-ultimate-coding-learning-game?ref=discovery
62,https://www.kickstarter.com/projects/770435035/tennibot-the-worlds-first-robotic-tennis-ball-coll?ref=discovery
63,https://www.kickstarter.com/projects/1947113322/bucky-an-edtech-robot-to-narrow-technology-access?ref=discovery
64,https://www.kickstarter.com/projects/cesarminoru/protei-open-hardware-oil-spill-cleaning-sailing-ro?ref=discovery
65,https://www.kickstarter.com/projects/rse/worlds-first-eco-robot-protecting-reefs-from-lionf?ref=discovery
66,https://www.kickstarter.com/projects/44540085/tinkamo-smart-building-blocks-for-future-creators?ref=discovery
67,https://www.kickstarter.com/projects/frobotics/monsterborg-the-raspberry-pi-monster-robot?ref=discovery
68,https://www.kickstarter.com/projects/2141368214/kamigami-worlds-first-diy-lightning-fast-origami-r?ref=discovery
69,https://www.kickstarter.com/projects/758562141/3d-printed-educational-robotic-platform?ref=discovery
70,https://www.kickstarter.com/projects/775197166/dorna-fast-powerful-and-precise-robotic-arm?ref=discovery
71,https://www.kickstarter.com/projects/makeblock/mdrawbot-4-in-1-drawing-robot?ref=discovery
72,https://www.kickstarter.com/projects/2074714954/phiro-a-smart-robot-for-kids-learn-to-code-in-5-wa?ref=discovery
73,https://www.kickstarter.com/projects/641528106/photon-worlds-first-robot-which-grows-with-your-ch?ref=discovery
74,https://www.kickstarter.com/projects/144859729/slushengine-stepper-motor-driver?ref=discovery
